image: 1000x1000.pgm
0, 1.485625e-03
1, 4.277845e-02
2, 2.031912e-01
3, 6.121659e-01
4, 1.406244e+00
5, 2.527128e-03
0, 1.468338e-03
1, 4.094084e-02
2, 2.090350e-01
3, 6.221272e-01
4, 1.320715e+00
5, 2.546155e-03
0, 7.082780e-04
1, 4.021914e-02
2, 2.000935e-01
3, 5.872579e-01
4, 1.345448e+00
5, 2.533110e-03
0, 1.186691e-03
1, 4.260549e-02
2, 2.042346e-01
3, 5.948758e-01
4, 1.297108e+00
5, 2.579276e-03
image: 1000x1000_2.pgm
0, 7.296230e-04
1, 4.285916e-02
2, 1.957351e-01
3, 6.090059e-01
4, 1.378744e+00
5, 2.665131e-03
0, 9.328000e-04
1, 4.284504e-02
2, 2.135637e-01
3, 6.208731e-01
4, 1.349259e+00
5, 2.673453e-03
0, 7.777480e-04
1, 4.276387e-02
2, 2.043552e-01
3, 6.056050e-01
4, 1.387767e+00
5, 2.641173e-03
0, 7.066100e-04
1, 4.138455e-02
2, 2.064190e-01
3, 6.170742e-01
4, 1.363489e+00
5, 2.686984e-03
